root_ancestor,domain,measure_1,measure_2,tree_1,tree_2
405,Money & Markets,Enterprises by means of services supply and NACE rev.2 activity aggregate - experimental statistics,Enterprises with members in other EEA countries,405,417
405,Money & Markets,Enterprises by type of supplier power asymmetry in the global value chain and NACE rev.2 activity aggregate - experimental statistics,Enterprises with members in other EEA countries,405,417
405,Money & Markets,Enterprises by international sourcing status prior to the reference period and NACE Rev.2 activity aggregate - experimental statistics,Enterprises with members in other EEA countries,405,417
405,Money & Markets,Enterprises by sourcing status and enterprise group identification - collection round - experimental statistics,Enterprises with members in other EEA countries,405,417
405,Money & Markets,"Enterprises in wholesale trade, repair of vehicles and motorcycles (NACE Rev.2, G) - changes in stocks",Enterprises with members in other EEA countries,405,417
405,Tech & Innovation,Enterprises having received orders online (at least 1%) - % of enterprises,"Enterprises using software solutions, like CRM to analyse information about clients for marketing purposes",409,413
424,Environment & Natural Resources and Production,"Estimated trends in fish stock biomass, by fishing areas",Estimated soil loss by water erosion by land cover type,428,427
424,Environment & Natural Resources and Production,"Estimated trends in fishing pressure, by fishing area",Estimated soil loss by water erosion by land cover type,428,427
439,Transports,Expenditure on inland waterway transport infrastructure and freight vessels,Expenditure on rolling stock and railway infrastructure,441,442
439,Transports,Expenditure on inland waterway transport infrastructure and freight vessels,Expenditure on road transport vehicles and road infrastructure,441,439
439,Transports,Expenditure on rolling stock and railway infrastructure,Expenditure on road transport vehicles and road infrastructure,442,439
