measure,domain_true,domain_predicted,correct,cluster,cluster_majority_domain,cluster_purity,cluster_n_gt_measures,cluster_n_domains,error_source
Official development assistance as share of gross national income,Money & Markets,Money & Markets,True,1246,Money & Markets,1.0,1,1,correct
EU financing to developing countries by financing source,Money & Markets,Money & Markets,True,410,Money & Markets,1.0,1,1,correct
General government gross debt,Money & Markets,Money & Markets,True,704,Money & Markets,1.0,8,1,correct
Share of environmental taxes in total tax revenues,Money & Markets,Money & Markets,True,1743,Money & Markets,1.0,1,1,correct
"High-speed internet coverage, by type of area",Tech & Innovation,Tech & Innovation,True,804,Tech & Innovation,1.0,1,1,correct
Net social protection benefits,"People, Work & Living Conditions","People, Work & Living Conditions",True,1195,"People, Work & Living Conditions",1.0,1,1,correct
Employment in sport by age,"People, Work & Living Conditions","People, Work & Living Conditions",True,495,"People, Work & Living Conditions",1.0,2,1,correct
Employment in sport by sex,"People, Work & Living Conditions","People, Work & Living Conditions",True,495,"People, Work & Living Conditions",1.0,2,1,correct
Mean consumption expenditure of private households on sporting goods and services by income quintile,"People, Work & Living Conditions",Money & Markets,False,1110,"People, Work & Living Conditions",0.75,4,2,"downstream (LLM domain choice, step 8)"
Market production - annual data,Money & Markets,Money & Markets,True,1093,Money & Markets,1.0,1,1,correct
Agricultural holdings by agricultural area,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,62,Environment & Natural Resources and Production,1.0,6,1,correct
Agricultural holdings by crops,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,62,Environment & Natural Resources and Production,1.0,6,1,correct
Number of dairy cows,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,11,Environment & Natural Resources and Production,1.0,1,1,correct
Number of bovine animals,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,7,Environment & Natural Resources and Production,1.0,1,1,correct
Number of sheep,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,25,Environment & Natural Resources and Production,1.0,1,1,correct
Number of pigs,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,21,Environment & Natural Resources and Production,1.0,1,1,correct
Farm labour force,Environment & Natural Resources and Production,"People, Work & Living Conditions",False,606,Environment & Natural Resources and Production,1.0,1,1,"downstream (LLM domain choice, step 8)"
"Cereals for the production of grain (including seed) by area, production and humidity",Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,204,Environment & Natural Resources and Production,1.0,1,1,correct
Agricultural holdings by age of holder,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,62,Environment & Natural Resources and Production,1.0,6,1,correct
Collection of cow's milk,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,226,Environment & Natural Resources and Production,1.0,1,1,correct
Production of butter,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1532,Environment & Natural Resources and Production,1.0,1,1,correct
Production of milk powder,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1540,Environment & Natural Resources and Production,1.0,2,1,correct
Production of cheese,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1533,Environment & Natural Resources and Production,1.0,1,1,correct
Production of milk on farms,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1540,Environment & Natural Resources and Production,1.0,2,1,correct
Production of pigmeat in slaughterhouses,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1541,Environment & Natural Resources and Production,1.0,1,1,correct
Production of poultry meat in slaughterhouses,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1542,Environment & Natural Resources and Production,1.0,1,1,correct
Production of bovine meat in slaughterhouses,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1531,Environment & Natural Resources and Production,1.0,1,1,correct
Production of sheepmeat and goat meat in slaughterhouses,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1543,Environment & Natural Resources and Production,1.0,1,1,correct
"Producer price indices, total agricultural production",Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1521,Environment & Natural Resources and Production,1.0,3,1,correct
"Wheat and spelt by area, production and humidity",Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,2016,Environment & Natural Resources and Production,1.0,1,1,correct
"Producer price indices, crop products",Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1521,Environment & Natural Resources and Production,1.0,3,1,correct
"Rye and winter cereal mixtures by area, production and humidity",Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1667,Environment & Natural Resources and Production,1.0,1,1,correct
"Producer price indices, animals and animal products",Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1521,Environment & Natural Resources and Production,1.0,3,1,correct
"Barley by area, production and humidity",Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,162,Environment & Natural Resources and Production,1.0,1,1,correct
"Purchase price indices, total means of agricultural production",Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1567,Environment & Natural Resources and Production,1.0,1,1,correct
"Oats and spring cereal mixtures by area, production and humidity",Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1238,Environment & Natural Resources and Production,1.0,1,1,correct
Crop output - basic and producer prices,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,306,Environment & Natural Resources and Production,1.0,1,1,correct
Animal output - basic and producer prices,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,84,Environment & Natural Resources and Production,1.0,1,1,correct
Gross value added of the agricultural industry - basic and producer prices,Environment & Natural Resources and Production,Money & Markets,False,763,Money & Markets,0.9310344827586207,29,2,"upstream (clustering, step 7)"
Indicator A of the income from agricultural activity,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,899,Environment & Natural Resources and Production,1.0,1,1,correct
Selling prices of soft wheat,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1710,Environment & Natural Resources and Production,1.0,13,1,correct
Selling prices of barley,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1710,Environment & Natural Resources and Production,1.0,13,1,correct
Selling prices of oats,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1710,Environment & Natural Resources and Production,1.0,13,1,correct
Selling prices of maize,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1710,Environment & Natural Resources and Production,1.0,13,1,correct
Selling prices of main crop potatoes,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1710,Environment & Natural Resources and Production,1.0,13,1,correct
Selling prices of sugar beet (unit value),Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1710,Environment & Natural Resources and Production,1.0,13,1,correct
Selling prices of calves,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1710,Environment & Natural Resources and Production,1.0,13,1,correct
